Files already downloaded and verified
Files already downloaded and verified
train_dataset =  40000
valid_dataset =  10000
test_dataset =  10000
training start ...
Epoch [163/500], Loss: 0.0013, val_loss: 0.0195, val_acc: 0.5550
Epoch [164/500], Loss: 0.0014, val_loss: 0.0195, val_acc: 0.5589
Epoch [165/500], Loss: 0.0013, val_loss: 0.0195, val_acc: 0.5656
Epoch [166/500], Loss: 0.0014, val_loss: 0.0201, val_acc: 0.5555
Epoch [167/500], Loss: 0.0014, val_loss: 0.0202, val_acc: 0.5542
Epoch [168/500], Loss: 0.0014, val_loss: 0.0197, val_acc: 0.5570
Epoch [169/500], Loss: 0.0013, val_loss: 0.0199, val_acc: 0.5610
Epoch [170/500], Loss: 0.0014, val_loss: 0.0199, val_acc: 0.5657
Epoch [171/500], Loss: 0.0014, val_loss: 0.0193, val_acc: 0.5667
Epoch [172/500], Loss: 0.0013, val_loss: 0.0195, val_acc: 0.5639
Epoch [173/500], Loss: 0.0013, val_loss: 0.0196, val_acc: 0.5596
Epoch [174/500], Loss: 0.0013, val_loss: 0.0198, val_acc: 0.5625
Epoch [175/500], Loss: 0.0014, val_loss: 0.0191, val_acc: 0.5656
Epoch [176/500], Loss: 0.0013, val_loss: 0.0196, val_acc: 0.5586
Epoch [177/500], Loss: 0.0013, val_loss: 0.0197, val_acc: 0.5609
Epoch [178/500], Loss: 0.0013, val_loss: 0.0197, val_acc: 0.5650
Epoch [179/500], Loss: 0.0013, val_loss: 0.0197, val_acc: 0.5644
Epoch [180/500], Loss: 0.0013, val_loss: 0.0202, val_acc: 0.5611
Epoch [181/500], Loss: 0.0013, val_loss: 0.0200, val_acc: 0.5645
Epoch [182/500], Loss: 0.0013, val_loss: 0.0202, val_acc: 0.5576
Epoch [183/500], Loss: 0.0013, val_loss: 0.0195, val_acc: 0.5649
Epoch [184/500], Loss: 0.0013, val_loss: 0.0197, val_acc: 0.5602
Epoch [185/500], Loss: 0.0014, val_loss: 0.0198, val_acc: 0.5658
Epoch [186/500], Loss: 0.0013, val_loss: 0.0198, val_acc: 0.5573
Epoch [187/500], Loss: 0.0013, val_loss: 0.0193, val_acc: 0.5668
Epoch [188/500], Loss: 0.0013, val_loss: 0.0196, val_acc: 0.5591
Epoch [189/500], Loss: 0.0014, val_loss: 0.0197, val_acc: 0.5606
Epoch [190/500], Loss: 0.0013, val_loss: 0.0198, val_acc: 0.5590
Epoch [191/500], Loss: 0.0014, val_loss: 0.0192, val_acc: 0.5667
Epoch [192/500], Loss: 0.0012, val_loss: 0.0205, val_acc: 0.5618
Epoch [193/500], Loss: 0.0012, val_loss: 0.0204, val_acc: 0.5599
Epoch [194/500], Loss: 0.0013, val_loss: 0.0196, val_acc: 0.5580
Epoch [195/500], Loss: 0.0013, val_loss: 0.0195, val_acc: 0.5588
Epoch [196/500], Loss: 0.0013, val_loss: 0.0193, val_acc: 0.5643
Epoch [197/500], Loss: 0.0014, val_loss: 0.0196, val_acc: 0.5574
Epoch [198/500], Loss: 0.0013, val_loss: 0.0194, val_acc: 0.5629
Epoch [199/500], Loss: 0.0012, val_loss: 0.0194, val_acc: 0.5636
Epoch [200/500], Loss: 0.0013, val_loss: 0.0202, val_acc: 0.5516
Epoch [201/500], Loss: 0.0014, val_loss: 0.0194, val_acc: 0.5647
Epoch [202/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5667
Epoch [203/500], Loss: 0.0013, val_loss: 0.0199, val_acc: 0.5578
Epoch [204/500], Loss: 0.0013, val_loss: 0.0196, val_acc: 0.5583
Epoch [205/500], Loss: 0.0013, val_loss: 0.0197, val_acc: 0.5677
Epoch [206/500], Loss: 0.0012, val_loss: 0.0203, val_acc: 0.5529
Epoch [207/500], Loss: 0.0013, val_loss: 0.0198, val_acc: 0.5665
Epoch [208/500], Loss: 0.0012, val_loss: 0.0196, val_acc: 0.5636
Epoch [209/500], Loss: 0.0013, val_loss: 0.0198, val_acc: 0.5636
Epoch [210/500], Loss: 0.0012, val_loss: 0.0203, val_acc: 0.5526
Epoch [211/500], Loss: 0.0013, val_loss: 0.0194, val_acc: 0.5698
Epoch [212/500], Loss: 0.0013, val_loss: 0.0197, val_acc: 0.5674
Epoch [213/500], Loss: 0.0013, val_loss: 0.0199, val_acc: 0.5644
Epoch [214/500], Loss: 0.0013, val_loss: 0.0195, val_acc: 0.5635
Epoch [215/500], Loss: 0.0013, val_loss: 0.0196, val_acc: 0.5628
Epoch [216/500], Loss: 0.0012, val_loss: 0.0191, val_acc: 0.5657
Epoch [217/500], Loss: 0.0013, val_loss: 0.0198, val_acc: 0.5620
Epoch [218/500], Loss: 0.0013, val_loss: 0.0197, val_acc: 0.5634
Epoch [219/500], Loss: 0.0013, val_loss: 0.0200, val_acc: 0.5544
Epoch [220/500], Loss: 0.0013, val_loss: 0.0192, val_acc: 0.5590
Epoch [221/500], Loss: 0.0012, val_loss: 0.0199, val_acc: 0.5492
Epoch [222/500], Loss: 0.0013, val_loss: 0.0198, val_acc: 0.5570
Epoch [223/500], Loss: 0.0013, val_loss: 0.0198, val_acc: 0.5619
Epoch [224/500], Loss: 0.0012, val_loss: 0.0199, val_acc: 0.5612
Epoch [225/500], Loss: 0.0013, val_loss: 0.0194, val_acc: 0.5655
Epoch [226/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5541
Epoch [227/500], Loss: 0.0012, val_loss: 0.0199, val_acc: 0.5615
Epoch [228/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5575
Epoch [229/500], Loss: 0.0014, val_loss: 0.0197, val_acc: 0.5642
Epoch [230/500], Loss: 0.0013, val_loss: 0.0193, val_acc: 0.5662
Epoch [231/500], Loss: 0.0013, val_loss: 0.0192, val_acc: 0.5624
Epoch [232/500], Loss: 0.0012, val_loss: 0.0196, val_acc: 0.5639
Epoch [233/500], Loss: 0.0012, val_loss: 0.0197, val_acc: 0.5609
Epoch [234/500], Loss: 0.0013, val_loss: 0.0196, val_acc: 0.5634
Epoch [235/500], Loss: 0.0013, val_loss: 0.0194, val_acc: 0.5645
Epoch [236/500], Loss: 0.0012, val_loss: 0.0200, val_acc: 0.5653
Epoch [237/500], Loss: 0.0012, val_loss: 0.0200, val_acc: 0.5650
Epoch [238/500], Loss: 0.0012, val_loss: 0.0197, val_acc: 0.5616
Epoch [239/500], Loss: 0.0013, val_loss: 0.0195, val_acc: 0.5710
Epoch [240/500], Loss: 0.0013, val_loss: 0.0200, val_acc: 0.5646
Epoch [241/500], Loss: 0.0012, val_loss: 0.0196, val_acc: 0.5584
Epoch [242/500], Loss: 0.0013, val_loss: 0.0192, val_acc: 0.5605
Epoch [243/500], Loss: 0.0012, val_loss: 0.0202, val_acc: 0.5620
Epoch [244/500], Loss: 0.0013, val_loss: 0.0195, val_acc: 0.5609
Epoch [245/500], Loss: 0.0013, val_loss: 0.0195, val_acc: 0.5645
Epoch [246/500], Loss: 0.0012, val_loss: 0.0202, val_acc: 0.5595
Epoch [247/500], Loss: 0.0012, val_loss: 0.0196, val_acc: 0.5616
Epoch [248/500], Loss: 0.0012, val_loss: 0.0202, val_acc: 0.5602
Epoch [249/500], Loss: 0.0012, val_loss: 0.0201, val_acc: 0.5605
Epoch [250/500], Loss: 0.0012, val_loss: 0.0191, val_acc: 0.5664
Epoch [251/500], Loss: 0.0012, val_loss: 0.0195, val_acc: 0.5670
Epoch [252/500], Loss: 0.0012, val_loss: 0.0197, val_acc: 0.5659
Epoch [253/500], Loss: 0.0012, val_loss: 0.0201, val_acc: 0.5648
Epoch [254/500], Loss: 0.0012, val_loss: 0.0194, val_acc: 0.5627
Epoch [255/500], Loss: 0.0012, val_loss: 0.0203, val_acc: 0.5651
Epoch [256/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5664
Epoch [257/500], Loss: 0.0012, val_loss: 0.0200, val_acc: 0.5677
Epoch [258/500], Loss: 0.0012, val_loss: 0.0190, val_acc: 0.5653
Epoch [259/500], Loss: 0.0012, val_loss: 0.0193, val_acc: 0.5697
Epoch [260/500], Loss: 0.0012, val_loss: 0.0193, val_acc: 0.5617
Epoch [261/500], Loss: 0.0012, val_loss: 0.0199, val_acc: 0.5647
Epoch [262/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5626
Epoch [263/500], Loss: 0.0012, val_loss: 0.0195, val_acc: 0.5657
Epoch [264/500], Loss: 0.0012, val_loss: 0.0194, val_acc: 0.5709
Epoch [265/500], Loss: 0.0012, val_loss: 0.0193, val_acc: 0.5636
Epoch [266/500], Loss: 0.0012, val_loss: 0.0192, val_acc: 0.5636
Epoch [267/500], Loss: 0.0013, val_loss: 0.0199, val_acc: 0.5566
Epoch [268/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5641
Epoch [269/500], Loss: 0.0013, val_loss: 0.0201, val_acc: 0.5616
Epoch [270/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5600
Epoch [271/500], Loss: 0.0012, val_loss: 0.0195, val_acc: 0.5639
Epoch [272/500], Loss: 0.0012, val_loss: 0.0197, val_acc: 0.5589
Epoch [273/500], Loss: 0.0012, val_loss: 0.0196, val_acc: 0.5636
Epoch [274/500], Loss: 0.0012, val_loss: 0.0203, val_acc: 0.5589
Epoch [275/500], Loss: 0.0012, val_loss: 0.0196, val_acc: 0.5613
Epoch [276/500], Loss: 0.0012, val_loss: 0.0199, val_acc: 0.5622
Epoch [277/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5577
Epoch [278/500], Loss: 0.0011, val_loss: 0.0198, val_acc: 0.5600
Epoch [279/500], Loss: 0.0012, val_loss: 0.0199, val_acc: 0.5620
Epoch [280/500], Loss: 0.0012, val_loss: 0.0196, val_acc: 0.5619
Epoch [281/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5682
Epoch [282/500], Loss: 0.0012, val_loss: 0.0197, val_acc: 0.5611
Epoch [283/500], Loss: 0.0013, val_loss: 0.0199, val_acc: 0.5627
Epoch [284/500], Loss: 0.0012, val_loss: 0.0194, val_acc: 0.5625
Epoch [285/500], Loss: 0.0011, val_loss: 0.0195, val_acc: 0.5622
Epoch [286/500], Loss: 0.0011, val_loss: 0.0200, val_acc: 0.5650
Epoch [287/500], Loss: 0.0013, val_loss: 0.0200, val_acc: 0.5514
Epoch [288/500], Loss: 0.0014, val_loss: 0.0195, val_acc: 0.5595
Epoch [289/500], Loss: 0.0012, val_loss: 0.0195, val_acc: 0.5661
Epoch [290/500], Loss: 0.0012, val_loss: 0.0196, val_acc: 0.5582
Epoch [291/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5609
Epoch [292/500], Loss: 0.0012, val_loss: 0.0195, val_acc: 0.5618
Epoch [293/500], Loss: 0.0011, val_loss: 0.0200, val_acc: 0.5591
Epoch [294/500], Loss: 0.0011, val_loss: 0.0202, val_acc: 0.5557
Epoch [295/500], Loss: 0.0012, val_loss: 0.0196, val_acc: 0.5695
Epoch [296/500], Loss: 0.0012, val_loss: 0.0199, val_acc: 0.5608
Epoch [297/500], Loss: 0.0011, val_loss: 0.0199, val_acc: 0.5575
Epoch [298/500], Loss: 0.0012, val_loss: 0.0193, val_acc: 0.5693
Epoch [299/500], Loss: 0.0013, val_loss: 0.0197, val_acc: 0.5657
Epoch [300/500], Loss: 0.0012, val_loss: 0.0196, val_acc: 0.5625
Epoch [301/500], Loss: 0.0012, val_loss: 0.0195, val_acc: 0.5652
Epoch [302/500], Loss: 0.0011, val_loss: 0.0204, val_acc: 0.5539
Epoch [303/500], Loss: 0.0012, val_loss: 0.0202, val_acc: 0.5568
Epoch [304/500], Loss: 0.0011, val_loss: 0.0200, val_acc: 0.5600
Epoch [305/500], Loss: 0.0012, val_loss: 0.0193, val_acc: 0.5686
Epoch [306/500], Loss: 0.0011, val_loss: 0.0201, val_acc: 0.5573
Epoch [307/500], Loss: 0.0012, val_loss: 0.0201, val_acc: 0.5595
Epoch [308/500], Loss: 0.0011, val_loss: 0.0201, val_acc: 0.5664
Epoch [309/500], Loss: 0.0011, val_loss: 0.0197, val_acc: 0.5651
Epoch [310/500], Loss: 0.0012, val_loss: 0.0195, val_acc: 0.5670
Epoch [311/500], Loss: 0.0012, val_loss: 0.0195, val_acc: 0.5652
Epoch [312/500], Loss: 0.0011, val_loss: 0.0196, val_acc: 0.5666
Epoch [313/500], Loss: 0.0013, val_loss: 0.0196, val_acc: 0.5621
Epoch [314/500], Loss: 0.0012, val_loss: 0.0199, val_acc: 0.5596
Epoch [315/500], Loss: 0.0011, val_loss: 0.0200, val_acc: 0.5588
Epoch [316/500], Loss: 0.0012, val_loss: 0.0200, val_acc: 0.5673
Epoch [317/500], Loss: 0.0012, val_loss: 0.0200, val_acc: 0.5559
Epoch [318/500], Loss: 0.0012, val_loss: 0.0202, val_acc: 0.5591
Epoch [319/500], Loss: 0.0012, val_loss: 0.0204, val_acc: 0.5630
Epoch [320/500], Loss: 0.0012, val_loss: 0.0202, val_acc: 0.5595
Epoch [321/500], Loss: 0.0012, val_loss: 0.0196, val_acc: 0.5562
Epoch [322/500], Loss: 0.0012, val_loss: 0.0199, val_acc: 0.5595
Epoch [323/500], Loss: 0.0011, val_loss: 0.0203, val_acc: 0.5584
Epoch [324/500], Loss: 0.0011, val_loss: 0.0195, val_acc: 0.5684
Epoch [325/500], Loss: 0.0012, val_loss: 0.0199, val_acc: 0.5591
Epoch [326/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5644
Epoch [327/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5605
Epoch [328/500], Loss: 0.0011, val_loss: 0.0199, val_acc: 0.5670
Epoch [329/500], Loss: 0.0012, val_loss: 0.0201, val_acc: 0.5580
Epoch [330/500], Loss: 0.0012, val_loss: 0.0198, val_acc: 0.5594
Epoch [331/500], Loss: 0.0012, val_loss: 0.0195, val_acc: 0.5630
Epoch [332/500], Loss: 0.0011, val_loss: 0.0198, val_acc: 0.5572
Epoch [333/500], Loss: 0.0012, val_loss: 0.0197, val_acc: 0.5628
Epoch [334/500], Loss: 0.0012, val_loss: 0.0204, val_acc: 0.5588
Epoch [335/500], Loss: 0.0013, val_loss: 0.0197, val_acc: 0.5635
